FILE_NAME,FRAME_RATE,ANALOG_VIDEO_FRAME_RATIO,BatAngVel,BatECAPAcc,BatECAPVel,BatSSAcc,BatSSVel,HipRot,HipRotVel,LeadElbowFlex,LeadElbowVel,LeadKneeFlex,LeadKneeVel,RearElbowFlex,RearElbowVel,RearKneeFlex,RearKneeVel,ShouldAbd,TrunkFlex,TrunkLatFlex,TrunkRot,TrunkVel,LeadArmAngVel,LeadHandAngVel,HeadRot,HeadLatFlex,HeadFlex
"Z:\SSL\Research\Graduate Students\Thompson, Devin\Vicon\Studies\PitchModality\Subject7\Session2\Subject7 BP 01.c3d",500,0,2173.33569335938,7561.16943359375,30.2354011535645,6377.0791015625,24.2076759338379,161.925582885742,244.098663330078,56.9925193786621,-251.216827392578,22.5883636474609,-102.633743286133,77.9262619018555,-804.230407714844,71.8829040527344,-133.049926757812,7.76851558685303,-4.19113397598267,-33.0970497131348,189.876678466797,-477.802276611328,340.390533447266,1430.98608398438,-48.9627265930176,-13.4866943359375,28.6889953613281
"Z:\SSL\Research\Graduate Students\Thompson, Devin\Vicon\Studies\PitchModality\Subject7\Session2\Subject7 BP 03.c3d",500,0,2193.55786132812,7852.64599609375,32.730899810791,5121.96142578125,27.5060882568359,159.757659912109,263.626098632812,51.6291236877441,-346.864318847656,21.1542205810547,-168.024993896484,80.8902893066406,-1028.115234375,72.5837020874023,-13.8415126800537,15.9506607055664,-5.2802529335022,-29.7153415679932,183.597305297852,-443.302154541016,406.890228271484,1312.06811523438,-43.4219017028809,-10.6958312988281,22.7993011474609
"Z:\SSL\Research\Graduate Students\Thompson, Devin\Vicon\Studies\PitchModality\Subject7\Session2\Subject7 BP 04.c3d",500,0,2199.8955078125,7329.83935546875,30.4730625152588,6098.267578125,24.4476299285889,162.539367675781,292.140960693359,61.2642517089844,-147.248596191406,15.1749811172485,-301.815399169922,80.7089309692383,-672.6923828125,71.7965774536133,-112.140892028809,12.1989450454712,-8.39425659179688,-27.9280815124512,184.497497558594,-529.167175292969,542.643432617188,1434.68542480469,-49.027904510498,-16.4526424407959,31.5390129089355
"Z:\SSL\Research\Graduate Students\Thompson, Devin\Vicon\Studies\PitchModality\Subject7\Session2\Subject7 BP 05.c3d",500,0,2352.06958007812,5515.59375,26.8025417327881,2630.06494140625,21.7972087860107,162.843170166016,319.648742675781,70.1401748657227,-10.138822555542,10.728816986084,-262.507080078125,90.5865936279297,-462.007019042969,69.2744064331055,-181.871246337891,4.38990926742554,-10.3122091293335,-30.9372329711914,182.291412353516,-467.216491699219,610.846435546875,1423.20422363281,-49.3941383361816,-13.5561113357544,35.7152099609375
"Z:\SSL\Research\Graduate Students\Thompson, Devin\Vicon\Studies\PitchModality\Subject7\Session2\Subject7 BP 06.c3d",500,0,2622.09936523438,1935.416015625,35.4775543212891,1832.39685058594,28.7285327911377,166.42041015625,296.634674072266,64.0657272338867,71.8203887939453,9.89738273620605,-260.190338134766,88.8034896850586,-615.316101074219,72.87939453125,-138.58610534668,16.58030128479,-10.3720407485962,-27.5559673309326,185.232803344727,-561.222045898438,679.718811035156,1605.63427734375,-47.2797088623047,-12.493745803833,29.4065456390381
"Z:\SSL\Research\Graduate Students\Thompson, Devin\Vicon\Studies\PitchModality\Subject7\Session2\Subject7 BP 07.c3d",500,0,1855.31420898438,6707.7421875,24.7157974243164,5410.1953125,21.0833797454834,160.497436523438,215.557098388672,50.9472732543945,-558.678527832031,14.9489479064941,-195.091598510742,78.2739028930664,-1230.26574707031,66.9364471435547,-186.629638671875,11.3521041870117,-8.24161911010742,-32.9723091125488,180.175033569336,-462.989807128906,205.760467529297,1458.93444824219,-51.7647438049316,-17.0479202270508,27.6486434936523
"Z:\SSL\Research\Graduate Students\Thompson, Devin\Vicon\Studies\PitchModality\Subject7\Session2\Subject7 BP 08.c3d",500,0,2131.9072265625,3524.955078125,29.2943897247314,3536.70922851562,24.9311561584473,156.27165222168,58.4144592285156,49.0991821289062,-533.037902832031,42.4149742126465,39.2988739013672,66.0188064575195,-1436.76635742188,73.9683380126953,-73.2117538452148,25.16868019104,-0.280836671590805,-28.4127655029297,184.619812011719,-483.287811279297,189.712585449219,1174.41638183594,-42.0217208862305,-13.9749917984009,15.3819608688354
"Z:\SSL\Research\Graduate Students\Thompson, Devin\Vicon\Studies\PitchModality\Subject7\Session2\Subject7 BP 09.c3d",500,0,2045.66040039062,6617.26708984375,28.3652820587158,4726.86474609375,22.9991550445557,164.516204833984,227.294921875,58.1986846923828,-261.319274902344,13.3566932678223,-255.400161743164,82.3879318237305,-938.640075683594,69.5793151855469,-125.975982666016,6.39543437957764,-8.89737892150879,-34.2167129516602,178.565612792969,-465.465545654297,317.180236816406,1398.15942382812,-48.6887817382812,-8.6232442855835,28.9333152770996
"Z:\SSL\Research\Graduate Students\Thompson, Devin\Vicon\Studies\PitchModality\Subject7\Session2\Subject7 BP 10.c3d",500,0,2563.91259765625,6291.13232421875,30.9087524414062,2293.61840820312,24.7052230834961,167.832748413086,271.865844726562,68.2444839477539,-96.2217864990234,12.7619142532349,-235.885009765625,83.429069519043,-605.757568359375,74.6264190673828,-174.915908813477,6.84142160415649,-12.2321996688843,-28.6152038574219,177.459426879883,-553.6689453125,523.529418945312,1367.19250488281,-49.0115394592285,-13.948073387146,36.5263824462891
"Z:\SSL\Research\Graduate Students\Thompson, Devin\Vicon\Studies\PitchModality\Subject7\Session2\Subject7 Cannon 01.c3d",500,0,2280.85888671875,9918.552734375,29.163703918457,7582.50439453125,24.3698348999023,176.893798828125,182.426452636719,56.9074516296387,-424.48095703125,10.5708160400391,-151.806060791016,76.2876510620117,-1157.02209472656,74.2362213134766,-184.259887695312,10.530613899231,-11.9234552383423,-29.0068454742432,178.948638916016,-600.730895996094,233.030548095703,1327.8544921875,-49.4025192260742,-11.2673711776733,27.2574310302734
