FILE_NAME,FRAME_RATE,ANALOG_VIDEO_FRAME_RATIO,pitchVel,exitVel,launchAng,sprayAng,impactLocECAP,impactLocKNOB,maxBatAngVel,maxBatECAPVel,maxBatSSVel,maxBatECAPAcc,maxBatSSAcc,maxBatKE,maxBatPower,maxBatKEFilt,maxBatPowerFilt
"Z:\SSL\Research\Graduate Students\Thompson, Devin\Vicon\Studies\PitchModality\Subject6\Session1\Subject6 BP 01.c3d",500,0,19.3447113037109,32.4267272949219,42.6863861083984,43.9961357116699,0.115519300103188,0.734848141670227,2558.45581054688,35.4346466064453,28.9733867645264,5530.49462890625,3817.91064453125,255.818603515625,5498.42822265625,253.101898193359,3907.00537109375
"Z:\SSL\Research\Graduate Students\Thompson, Devin\Vicon\Studies\PitchModality\Subject6\Session1\Subject6 BP 02.c3d",500,0,19.4174098968506,35.4431343078613,37.6630935668945,36.8782501220703,0.128832131624222,0.721834599971771,2640.82983398438,38.1404762268066,31.2723064422607,5170.763671875,3719.6044921875,298.581604003906,7023.62451171875,290.041748046875,4558.837890625
"Z:\SSL\Research\Graduate Students\Thompson, Devin\Vicon\Studies\PitchModality\Subject6\Session1\Subject6 BP 03.c3d",500,0,20.3711490631104,34.1259765625,43.4019203186035,55.2785034179688,0.138735368847847,0.710239827632904,2889.76416015625,39.2428932189941,32.0339622497559,4614.02978515625,3517.27416992188,311.655426025391,7669.75,286.093658447266,6213.8212890625
"Z:\SSL\Research\Graduate Students\Thompson, Devin\Vicon\Studies\PitchModality\Subject6\Session1\Subject6 BP 04.c3d",500,0,20.0408210754395,28.1174411773682,55.4896697998047,37.5684280395508,0.260326236486435,0.589915871620178,2965.23071289062,39.8684120178223,32.2440757751465,4413.47412109375,3907.11083984375,313.013580322266,7550.4228515625,286.685211181641,5174.560546875
"Z:\SSL\Research\Graduate Students\Thompson, Devin\Vicon\Studies\PitchModality\Subject6\Session1\Subject6 BP 05.c3d",500,0,19.9732112884521,44.4408950805664,15.5913944244385,11.0837993621826,0.164743170142174,0.685234785079956,2913.51513671875,39.9642753601074,32.5295562744141,9410.92578125,7079.92626953125,319.782165527344,7033.06982421875,296.305725097656,6381.24462890625
"Z:\SSL\Research\Graduate Students\Thompson, Devin\Vicon\Studies\PitchModality\Subject6\Session1\Subject6 BP 06.c3d",500,0,19.9104309082031,39.681282043457,-8.16771125793457,-12.7712440490723,0.167979836463928,0.682475864887238,2852.66430664062,36.576488494873,29.7342147827148,8936.3671875,6544.53759765625,268.128814697266,8330.736328125,243.615829467773,5044.89892578125
"Z:\SSL\Research\Graduate Students\Thompson, Devin\Vicon\Studies\PitchModality\Subject6\Session1\Subject6 BP 07.c3d",500,0,19.7500019073486,42.1757926940918,16.6370449066162,4.93338775634766,0.184394255280495,0.665227651596069,2902.86645507812,37.6681938171387,30.5761127471924,8017.52197265625,6460.6220703125,283.102966308594,7035.6103515625,253.464263916016,5772.94140625
"Z:\SSL\Research\Graduate Students\Thompson, Devin\Vicon\Studies\PitchModality\Subject6\Session1\Subject6 BP 08.c3d",500,0,18.5077095031738,41.9995498657227,-4.3062891960144,-16.2526512145996,0.136368200182915,0.713792383670807,3037.9228515625,41.9191970825195,33.9882736206055,10801.9423828125,7726.45263671875,348.378967285156,7719.7646484375,320.365966796875,6345.39794921875
"Z:\SSL\Research\Graduate Students\Thompson, Devin\Vicon\Studies\PitchModality\Subject6\Session1\Subject6 BP 09.c3d",500,0,19.1843795776367,39.6016120910645,10.314398765564,5.76499032974243,0.21675018966198,0.632323622703552,3008.95385742188,36.7057838439941,29.6186428070068,5768.0947265625,4740.32177734375,265.658935546875,7166.83984375,234.686904907227,5291.19873046875
"Z:\SSL\Research\Graduate Students\Thompson, Devin\Vicon\Studies\PitchModality\Subject6\Session1\Subject6 BP 10.c3d",500,0,19.9638767242432,42.5699806213379,27.695125579834,13.7201013565063,0.189851865172386,0.660846531391144,2982.38525390625,41.1281356811523,33.3605575561523,7370.46484375,5774.95166015625,336.006164550781,7504.62353515625,312.205322265625,6254.04736328125
"Z:\SSL\Research\Graduate Students\Thompson, Devin\Vicon\Studies\PitchModality\Subject6\Session1\Subject6 Cannon 01.c3d",500,0,32.6724586486816,28.9247512817383,44.8047103881836,28.868480682373,0.30294793844223,0.54505866765976,2840.1474609375,37.6659736633301,30.5207118988037,5780.75927734375,3238.17529296875,281.660186767578,7406.982421875,253.942230224609,5673.33984375
"Z:\SSL\Research\Graduate Students\Thompson, Devin\Vicon\Studies\PitchModality\Subject6\Session1\Subject6 Cannon 02.c3d",500,0,32.4475784301758,22.0601482391357,2.11024951934814,18.361047744751,0.345280855894089,0.502659022808075,2663.67846679688,31.9901256561279,25.5099353790283,5900.32177734375,3828.67578125,196.65348815918,5387.8974609375,177.465805053711,3304.34423828125
"Z:\SSL\Research\Graduate Students\Thompson, Devin\Vicon\Studies\PitchModality\Subject6\Session1\Subject6 Cannon 03.c3d",500,0,31.870475769043,28.5516777038574,105.009292602539,108.380836486816,0.265260696411133,0.583647549152374,2654.36572265625,36.5796241760254,29.7887363433838,5213.77685546875,3665.12109375,269.872406005859,5274.333984375,255.987518310547,4362.49169921875
"Z:\SSL\Research\Graduate Students\Thompson, Devin\Vicon\Studies\PitchModality\Subject6\Session1\Subject6 Cannon 04.c3d",500,0,32.3259353637695,35.7527656555176,55.2464866638184,54.6586990356445,0.230609014630318,0.618580758571625,2808.90185546875,38.7117919921875,31.6365756988525,6269.06298828125,3957.26245117188,304.752777099609,9411.0263671875,284.71435546875,6109.8291015625
