FILE_NAME,FRAME_RATE,ANALOG_VIDEO_FRAME_RATIO,maxHipRotVel,maxTrunkRotVel,maxLeadElbowVel,maxRearElbowVel,maxLeadKneeVel,maxRearKneeVel,maxHipRotation,maxTrunkRotation,maxTrunkFlexion,maxTrunkLateralFlexion,maxShoulderAbd,maxLeadKneeFlexion,maxLeadElbowFlexion,maxRearKneeFlexion,maxRearElbowFlexion,maxLeadArmAngVel,maxLeadHandAngVel,maxHeadRotation,maxHeadLateralFlexion,maxHeadFlexion
"Z:\SSL\Research\Graduate Students\Thompson, Devin\Vicon\Studies\PitchModality\Subject8\Session1\Subject8 BP 05.c3d",500,0,666.349426269531,332.790374755859,148.906097412109,79.535514831543,160.771453857422,107.143989562988,62.5359764099121,217.384399414062,29.5896644592285,15.9480800628662,66.2294158935547,66.2019882202148,105.655220031738,78.7638320922852,149.375076293945,1227.64611816406,1956.55944824219,74.0726318359375,15.9082489013672,20.5212535858154
"Z:\SSL\Research\Graduate Students\Thompson, Devin\Vicon\Studies\PitchModality\Subject8\Session1\Subject8 BP 06.c3d",500,0,643.806457519531,356.830596923828,356.424835205078,192.825729370117,201.235595703125,115.669372558594,66.6133880615234,217.714263916016,27.9371547698975,16.7796897888184,62.8047294616699,61.4428405761719,104.343521118164,82.1388778686523,149.583038330078,1388.54736328125,2038.90307617188,70.269775390625,12.100811958313,26.2620067596436
"Z:\SSL\Research\Graduate Students\Thompson, Devin\Vicon\Studies\PitchModality\Subject8\Session1\Subject8 BP 07.c3d",500,0,611.312866210938,308.967590332031,81.5332565307617,24.8666496276855,181.005783081055,75.6582946777344,69.4900817871094,217.610122680664,26.5545749664307,16.0747985839844,65.660530090332,57.8319969177246,104.634803771973,81.1848220825195,150.065856933594,1043.43212890625,1882.201171875,71.6405868530273,16.9085636138916,16.0585594177246
"Z:\SSL\Research\Graduate Students\Thompson, Devin\Vicon\Studies\PitchModality\Subject8\Session1\Subject8 BP 08.c3d",500,0,609.725952148438,288.963317871094,322.407470703125,146.134323120117,181.658584594727,60.3152770996094,72.3151397705078,215.222290039062,28.6836547851562,15.9037199020386,63.0213317871094,62.4208946228027,103.401084899902,76.3669052124023,149.325759887695,1321.35498046875,2057.66918945312,71.5432968139648,12.2144680023193,25.5503807067871
"Z:\SSL\Research\Graduate Students\Thompson, Devin\Vicon\Studies\PitchModality\Subject8\Session1\Subject8 BP 09.c3d",500,0,582.225830078125,367.427825927734,106.502502441406,6.10846710205078,174.308639526367,71.9699478149414,66.9078903198242,215.669128417969,31.1711673736572,15.232274055481,65.1750869750977,62.8116073608398,103.970771789551,76.1887359619141,149.805435180664,1150.00341796875,1960.13916015625,72.073616027832,16.4879894256592,15.6988344192505
"Z:\SSL\Research\Graduate Students\Thompson, Devin\Vicon\Studies\PitchModality\Subject8\Session1\Subject8 BP 11.c3d",500,0,719.913452148438,372.905731201172,236.215209960938,190.577651977539,175.892837524414,113.478248596191,63.4982452392578,215.507827758789,28.9435577392578,19.5217723846436,64.2545166015625,66.5285263061523,105.00846862793,79.9542236328125,149.90934753418,1404.68823242188,2022.59985351562,71.2910919189453,13.2416620254517,18.5284194946289
"Z:\SSL\Research\Graduate Students\Thompson, Devin\Vicon\Studies\PitchModality\Subject8\Session1\Subject8 BP 12.c3d",500,0,674.993530273438,401.660919189453,191.068313598633,100.005653381348,187.360687255859,128.963882446289,63.97802734375,222.847229003906,30.4773597717285,18.6117076873779,65.5820770263672,68.0964279174805,104.621055603027,84.2659149169922,149.010040283203,1255.84057617188,2021.38928222656,71.8287582397461,14.2778549194336,18.8404312133789
"Z:\SSL\Research\Graduate Students\Thompson, Devin\Vicon\Studies\PitchModality\Subject8\Session1\Subject8 Cannon 05.c3d",500,0,595.777526855469,243.343353271484,180.313934326172,103.474975585938,167.162399291992,104.199668884277,75.4923400878906,206.994430541992,30.4639873504639,19.3190460205078,64.9706802368164,66.1559753417969,104.224227905273,83.8036499023438,148.837097167969,1229.55993652344,2194.03100585938,70.3335723876953,21.1018829345703,26.1155033111572
"Z:\SSL\Research\Graduate Students\Thompson, Devin\Vicon\Studies\PitchModality\Subject8\Session1\Subject8 Cannon 06.c3d",500,0,607.166259765625,192.489624023438,182.98210144043,66.1721115112305,134.070770263672,167.665328979492,69.4039459228516,199.578262329102,35.8238410949707,18.6033935546875,68.6815414428711,65.990608215332,105.672592163086,85.2773590087891,149.029800415039,1153.35827636719,2208.36450195312,71.4590911865234,18.1503372192383,28.5480842590332
"Z:\SSL\Research\Graduate Students\Thompson, Devin\Vicon\Studies\PitchModality\Subject8\Session1\Subject8 Cannon 07.c3d",500,0,598.031982421875,263.362884521484,248.738586425781,85.4176940917969,122.291152954102,95.8869934082031,68.678352355957,210.6767578125,32.4165458679199,17.7744464874268,67.376838684082,68.2058715820312,103.160537719727,85.6591949462891,148.523330688477,1291.89294433594,1969.62377929688,72.1484527587891,17.8565044403076,23.4349632263184
"Z:\SSL\Research\Graduate Students\Thompson, Devin\Vicon\Studies\PitchModality\Subject8\Session1\Subject8 Cannon 08.c3d",500,0,608.537658691406,262.752532958984,113.857002258301,70.9476699829102,141.444259643555,67.7849884033203,72.2993927001953,209.597900390625,31.3980484008789,18.2745914459229,65.269889831543,65.8574676513672,104.36018371582,84.69189453125,148.181594848633,1207.05139160156,2091.81811523438,71.5518264770508,15.3479309082031,21.0054626464844
