FILE_NAME,FRAME_RATE,ANALOG_VIDEO_FRAME_RATIO,BatAngVel,BatECAPAcc,BatECAPVel,BatSSAcc,BatSSVel,HipRot,HipRotVel,LeadElbowFlex,LeadElbowVel,LeadKneeFlex,LeadKneeVel,RearElbowFlex,RearElbowVel,RearKneeFlex,RearKneeVel,ShouldAbd,TrunkFlex,TrunkLatFlex,TrunkRot,TrunkVel,LeadArmAngVel,LeadHandAngVel,HeadRot,HeadLatFlex,HeadFlex
"Z:\SSL\Research\Graduate Students\Thompson, Devin\Vicon\Studies\PitchModality\Subject10\Session1\Subject10 BP 01.c3d",500,0,403.594848632812,147.193969726562,4.5546932220459,109.226173400879,3.74520230293274,90.6497955322266,503.091796875,75.4378204345703,-324.965515136719,47.4578971862793,0.23053503036499,131.796737670898,-82.79248046875,40.704647064209,78.4430465698242,66.0672073364258,32.2620277404785,-14.6471214294434,204.837326049805,156.547546386719,236.261932373047,537.617431640625,59.6305809020996,16.6395950317383,-1.3851842880249
"Z:\SSL\Research\Graduate Students\Thompson, Devin\Vicon\Studies\PitchModality\Subject10\Session1\Subject10 BP 02.c3d",500,0,440.357635498047,97.6468887329102,4.68943452835083,103.153038024902,3.76424908638,96.5990829467773,519.929870605469,76.8158187866211,-292.111846923828,49.8630180358887,-63.39306640625,133.528076171875,-47.64208984375,40.0946731567383,52.5939712524414,58.0948524475098,30.3664360046387,-12.9233131408691,210.266296386719,102.05078125,315.998870849609,599.339416503906,59.4263725280762,9.40109825134277,-0.429758489131927
"Z:\SSL\Research\Graduate Students\Thompson, Devin\Vicon\Studies\PitchModality\Subject10\Session1\Subject10 BP 03.c3d",500,0,434.170928955078,152.989532470703,4.61246395111084,114.642318725586,3.5685601234436,95.4562606811523,547.845825195312,79.0181884765625,-268.546264648438,47.2338256835938,-69.031608581543,134.33935546875,-55.2646789550781,40.8012733459473,44.218448638916,67.5765151977539,26.2961769104004,-15.3006277084351,208.29704284668,162.853240966797,343.463104248047,607.872314453125,57.4751243591309,12.9281959533691,2.60172152519226
"Z:\SSL\Research\Graduate Students\Thompson, Devin\Vicon\Studies\PitchModality\Subject10\Session1\Subject10 BP 04.c3d",500,0,464.835388183594,140.781127929688,4.89484786987305,131.558624267578,3.84176874160767,99.418571472168,560.186401367188,80.6189041137695,-164.050506591797,51.0924415588379,-22.9469146728516,134.458084106445,-33.6905746459961,48.8464660644531,92.919059753418,68.4197463989258,26.7678337097168,-18.2765369415283,210.128540039062,258.460998535156,394.249603271484,563.071166992188,58.4188652038574,16.81032371521,1.77685415744781
"Z:\SSL\Research\Graduate Students\Thompson, Devin\Vicon\Studies\PitchModality\Subject10\Session1\Subject10 BP 05.c3d",500,0,423.826538085938,308.758575439453,4.52723836898804,196.47868347168,3.47371101379395,94.851692199707,546.724304199219,77.8757247924805,-274.108581542969,48.7672157287598,-78.4114761352539,133.428176879883,-66.9814910888672,41.370433807373,41.9730339050293,67.8816375732422,27.1156349182129,-14.1290512084961,207.834930419922,108.33740234375,329.074584960938,567.8525390625,59.2861137390137,14.9541625976562,2.10108590126038
"Z:\SSL\Research\Graduate Students\Thompson, Devin\Vicon\Studies\PitchModality\Subject10\Session1\Subject10 BP 06.c3d",500,0,427.719635009766,105.485649108887,4.70727682113647,75.6720504760742,3.74879288673401,92.9419784545898,515.15771484375,82.1803512573242,-156.598434448242,50.5810394287109,29.457103729248,134.011260986328,-36.9359283447266,46.1063690185547,128.777557373047,72.4812393188477,29.2739391326904,-18.3716735839844,206.059814453125,138.961791992188,410.115844726562,524.048522949219,60.036205291748,20.1551551818848,-0.00413851672783494
"Z:\SSL\Research\Graduate Students\Thompson, Devin\Vicon\Studies\PitchModality\Subject10\Session1\Subject10 BP 07.c3d",500,0,436.470367431641,116.985038757324,4.19444847106934,99.8902587890625,3.2329089641571,92.9500045776367,517.034545898438,81.9694900512695,-122.370948791504,52.3483200073242,31.6425971984863,134.981872558594,-24.4679470062256,43.0398712158203,54.3110389709473,69.4519653320312,28.1975631713867,-17.9898338317871,205.814498901367,234.577178955078,360.353393554688,509.56103515625,59.8488731384277,17.2878074645996,1.79152166843414
"Z:\SSL\Research\Graduate Students\Thompson, Devin\Vicon\Studies\PitchModality\Subject10\Session1\Subject10 BP 08.c3d",500,0,439.090362548828,101.529945373535,4.3834171295166,132.294342041016,3.5288417339325,90.8690795898438,532.258972167969,82.1961898803711,-105.065452575684,49.4918670654297,-2.0451283454895,134.090240478516,-20.1461982727051,46.1651306152344,122.463119506836,72.8587112426758,31.079610824585,-17.9634666442871,205.717651367188,253.822326660156,448.817291259766,498.281616210938,60.5695953369141,20.1310234069824,-1.29032373428345
"Z:\SSL\Research\Graduate Students\Thompson, Devin\Vicon\Studies\PitchModality\Subject10\Session1\Subject10 BP 10.c3d",500,0,482.296051025391,87.1794052124023,4.68364429473877,134.517135620117,3.73735284805298,94.2293548583984,566.535949707031,80.7143096923828,-150.150100708008,49.5869331359863,9.07125091552734,134.891647338867,-1.52424621582031,43.7423934936523,72.4060668945312,70.8422470092773,26.665599822998,-18.6076774597168,207.36506652832,115.776062011719,465.121398925781,579.969848632812,57.9102630615234,17.8127517700195,2.76157903671265
"Z:\SSL\Research\Graduate Students\Thompson, Devin\Vicon\Studies\PitchModality\Subject10\Session1\Subject10 BP 11.c3d",500,0,467.731781005859,104.545150756836,4.74606895446777,105.368957519531,3.8601713180542,97.5261840820312,572.912231445312,77.477424621582,-275.069427490234,51.0159072875977,-22.8545722961426,134.326156616211,-30.1845474243164,45.2399520874023,87.6402893066406,67.1250076293945,28.5039958953857,-18.7043361663818,212.115859985352,128.787994384766,367.296508789062,574.762329101562,57.7491226196289,17.4078369140625,1.16735076904297
