FILE_NAME,FRAME_RATE,ANALOG_VIDEO_FRAME_RATIO,swingTimeHand,swingTimeFootUp,swingTimeFootDown,stanceFootUpTime,footUpLoadTime,loadFirstMoveTime,firstMoveFootDownTime,footDownImpactTime,impactFollowThroughTime
"Z:\SSL\Research\Graduate Students\Thompson, Devin\Vicon\Studies\PitchModality\Subject10\Session1\Subject10 BP 01.c3d",500,0,0.139999866485596,0.611999988555908,0.113999843597412,0.529999852180481,0.0240001678466797,0.473999977111816,0.447999954223633,0.139999866485596,0.0320000648498535
"Z:\SSL\Research\Graduate Students\Thompson, Devin\Vicon\Studies\PitchModality\Subject10\Session1\Subject10 BP 02.c3d",500,0,0.128000020980835,0.70199990272522,0.107999801635742,0.404000043869019,0.105999946594238,0.488000154495239,0.467999935150146,0.128000020980835,0.0500001907348633
"Z:\SSL\Research\Graduate Students\Thompson, Devin\Vicon\Studies\PitchModality\Subject10\Session1\Subject10 BP 03.c3d",500,0,0.131999969482422,0.618000030517578,0.115999937057495,0.525999903678894,0.0199999809265137,0.482000112533569,0.466000080108643,0.131999969482422,0.0559999942779541
"Z:\SSL\Research\Graduate Students\Thompson, Devin\Vicon\Studies\PitchModality\Subject10\Session1\Subject10 BP 04.c3d",500,0,0.128000020980835,0.614000082015991,0.100000143051147,0.521999955177307,0.0399999618530273,0.473999977111816,0.446000099182129,0.128000020980835,0.0539999008178711
"Z:\SSL\Research\Graduate Students\Thompson, Devin\Vicon\Studies\PitchModality\Subject10\Session1\Subject10 BP 05.c3d",500,0,0.135999917984009,0.615999937057495,0.119999885559082,0.565999984741211,,0.496000051498413,0.480000019073486,0.135999917984009,0.0320000648498535
"Z:\SSL\Research\Graduate Students\Thompson, Devin\Vicon\Studies\PitchModality\Subject10\Session1\Subject10 BP 06.c3d",500,0,0.146000146865845,0.687999963760376,0.111999988555908,0.382000088691711,0.0920000076293945,0.483999967575073,0.449999809265137,0.146000146865845,0.0239999294281006
"Z:\SSL\Research\Graduate Students\Thompson, Devin\Vicon\Studies\PitchModality\Subject10\Session1\Subject10 BP 07.c3d",500,0,0.144000053405762,0.656000137329102,0.105999946594238,0.49399995803833,0.0559999942779541,0.494000196456909,0.456000089645386,0.144000053405762,0.0439999103546143
"Z:\SSL\Research\Graduate Students\Thompson, Devin\Vicon\Studies\PitchModality\Subject10\Session1\Subject10 BP 08.c3d",500,0,0.136000156402588,0.717999935150146,0.101999998092651,0.384000062942505,0.105999946594238,0.509999990463257,0.47599983215332,0.136000156402588,0.0439999103546143
"Z:\SSL\Research\Graduate Students\Thompson, Devin\Vicon\Studies\PitchModality\Subject10\Session1\Subject10 BP 10.c3d",500,0,0.136000156402588,0.703999996185303,0.108000040054321,0.386000037193298,0.115999937057495,0.480000019073486,0.45199990272522,0.136000156402588,0.0299999713897705
"Z:\SSL\Research\Graduate Students\Thompson, Devin\Vicon\Studies\PitchModality\Subject10\Session1\Subject10 BP 11.c3d",500,0,0.138000011444092,0.648000001907349,0.121999979019165,0.570000052452087,0.0219998359680176,0.504000186920166,0.488000154495239,0.138000011444092,0.0360000133514404
"Z:\SSL\Research\Graduate Students\Thompson, Devin\Vicon\Studies\PitchModality\Subject10\Session1\Subject10 BP 12.c3d",500,0,0.140000104904175,0.684000015258789,0.0999999046325684,0.389999985694885,0.118000030517578,0.466000080108643,0.425999879837036,0.140000104904175,0.0699999332427979
"Z:\SSL\Research\Graduate Students\Thompson, Devin\Vicon\Studies\PitchModality\Subject10\Session1\Subject10 BP 13.c3d",500,0,0.140000104904175,0.779999971389771,0.120000123977661,0.368000030517578,0.177999973297119,0.48199987411499,0.461999893188477,0.140000104904175,0.0339999198913574
"Z:\SSL\Research\Graduate Students\Thompson, Devin\Vicon\Studies\PitchModality\Subject10\Session1\Subject10 Cannon 01.c3d",500,0,0.131999969482422,0.48799991607666,0.109999895095825,0.592000007629395,,0.407999992370605,0.385999917984009,0.131999969482422,0.0320000648498535
"Z:\SSL\Research\Graduate Students\Thompson, Devin\Vicon\Studies\PitchModality\Subject10\Session1\Subject10 Cannon 02.c3d",500,0,0.131999969482422,0.441999912261963,0.0979998111724854,0.733999967575073,,0.434000015258789,0.399999856948853,0.131999969482422,0.0400002002716064
"Z:\SSL\Research\Graduate Students\Thompson, Devin\Vicon\Studies\PitchModality\Subject10\Session1\Subject10 Cannon 03.c3d",500,0,0.146000146865845,0.514000177383423,0.131999969482422,0.637999892234802,,0.462000131607056,0.447999954223633,0.146000146865845,0.0299999713897705
"Z:\SSL\Research\Graduate Students\Thompson, Devin\Vicon\Studies\PitchModality\Subject10\Session1\Subject10 Cannon 04.c3d",500,0,0.133999824523926,0.579999923706055,0.113999843597412,0.557999968528748,,0.480000019073486,0.460000038146973,0.133999824523926,0.0580000877380371
"Z:\SSL\Research\Graduate Students\Thompson, Devin\Vicon\Studies\PitchModality\Subject10\Session1\Subject10 Cannon 05.c3d",500,0,0.125999927520752,0.460000038146973,0.0980000495910645,0.746000051498413,,0.45799994468689,0.430000066757202,0.125999927520752,0.0320000648498535
"Z:\SSL\Research\Graduate Students\Thompson, Devin\Vicon\Studies\PitchModality\Subject10\Session1\Subject10 Cannon 06.c3d",500,0,0.145999908447266,0.558000087738037,0.129999876022339,0.631999850273132,,0.466000080108643,0.450000047683716,0.145999908447266,0.0360000133514404
